Empresa,Empresa Limpa,Categoria,Pergunta,Nota,Observações
Bain Marie -METRÔ,Bain Marie,24,Utiliza ferramentas e tem habilidade para edição de imagem e vídeo de qualidade?,2,A empreendedora utiliza canva e capcut 
Bain Marie -METRÔ,Bain Marie,25,Tem estratégia e investimento em impulsionamento/tráfego pago?,1,
Bain Marie -METRÔ,Bain Marie,26,Trabalha com influenciadores ou parceiros digitais de forma estratégica?,3,Trabalhou com 1 em janeiro e não viu retorno do investimento. 
Bain Marie -METRÔ,Bain Marie,27,"Oferece links de fácil acesso (bio) para cardápio, contato e pedidos?",3,Pode melhorar a apresentação do link. 
Bain Marie -METRÔ,Bain Marie,28,"Possui canais de vendas digitais ativos e bem gerenciados (iFood, site, WhatsApp)?",4,"Ifood principalmente, venda através desse canal é muito expressiva, especialmente na loja da João Walling. "
Bain Marie -METRÔ,Bain Marie,29,"Acompanha e utiliza métricas das redes sociais (alcance, engajamento, conversões) para otimizar?",1,
Bain Marie -METRÔ,Bain Marie,30,Quais perfis ativos a empresa possui? (Listar plataformas),0,Instagram e google 
Bain Marie -METRÔ,Bain Marie,31,Quais ferramentas de edição de imagem/vídeo utiliza? (Nomes),0,capcut e canva 
Bain Marie -METRÔ,Bain Marie,32,A empresa já utiliza alguma ferramenta de Inteligência Artificial de forma integrada no dia a dia?,3,Fez o curso e estava realizando o pagamento da ferramenta Adapta 
Bain Marie -METRÔ,Bain Marie,33,"Usa ferramentas como ChatGPT/Gemini para criar ideias, conteúdos ou resolver problemas?",3,Utiliza esporadicamente para conteudos nas redes sociais e para gerar imagens  
Bain Marie -METRÔ,Bain Marie,34,"Usa IA para gerar textos (descrições, posts, cardápios) com revisão humana?",3,
Bain Marie -METRÔ,Bain Marie,35,Utiliza IA para criação ou inspiração de imagens/elementos visuais?,3,"Já utilizou mais as ferramentas, para gerar imagens como dia das mães do ano passado, mas tem realizado poucos conteudos. "
Bain Marie -METRÔ,Bain Marie,36,Utiliza assistentes virtuais ou chatbots para atendimento ao cliente?,1,
Bain Marie -METRÔ,Bain Marie,37,Quais ferramentas de IA utiliza no dia a dia? (Nomes),0,Adapta e chatgpt 
Bain Marie -METRÔ,Bain Marie,38,Utiliza estratégias ativas e contínuas de prospecção ou vendas?,1,
Bain Marie -METRÔ,Bain Marie,39,Tem base de clientes organizada (preferencialmente CRM) e utilizada para relacionamento/vendas?,1,
Bain Marie -METRÔ,Bain Marie,40,Realiza ações estruturadas de fidelização ou recompra?,1,
Bain Marie -METRÔ,Bain Marie,41,"Tem processos de atendimento e vendas padronizados, conhecidos e seguidos pela equipe?",2,
Bain Marie -METRÔ,Bain Marie,42,Trabalha com ações promocionais ou sazonalidades de venda de forma planejada e estratégica?,3,"Apenas no Natal vendeu algumas ceias, mas entendi que foi por falta de divulgação. "
Bain Marie -METRÔ,Bain Marie,43,"Faz parcerias estratégicas com canais locais, marketplaces ou distribuidores?",1,analisar essa pergunta 
Bain Marie -METRÔ,Bain Marie,44,Há definição clara e formalizada de funções e responsabilidades para todos os cargos?,3,Tem a descrição das funções realizada mas no dia a dia utilizam pouco o documento formalizado.  
Bain Marie -METRÔ,Bain Marie,45,Possui treinamentos recorrentes para desenvolver a equipe (técnico/comportamental)?,2,
Bain Marie -METRÔ,Bain Marie,46,Os colaboradores possuem remuneração variável atrelada a metas/desempenho?,1,
Bain Marie -METRÔ,Bain Marie,47,Realiza reuniões periódicas eficazes com a equipe para alinhamento e comunicação?,2,"Realiza reuniões principalmente para ""apagar incendio"" com lideranças. "
Bain Marie -METRÔ,Bain Marie,48,Realiza pesquisa de clima organizacional e implementa planos de ação?,1,
Bain Marie -METRÔ,Bain Marie,49,Possui plano de carreira estruturado e transparente para os colaboradores?,2,Não há nada formalizado. 
Bain Marie -METRÔ,Bain Marie,50,"Existe uma cultura organizacional clara (Missão, Visão, Valores), disseminada e vivenciada?",2,Utiliza o manual do colaborador principalmente para novos contratados.  
Bain Marie -METRÔ,Bain Marie,51,Qual o número total de colaboradores?,0,27 funcionários sugestão:calcular rotatividade 
Bain Marie -METRÔ,Bain Marie,52,"Possui Manual de Boas Práticas (MBP), POPs exigidos pela VS, atualizados e em uso (com registros)?",2,"Tem desenvolvido o manual, mas é pouco visitado, fala da empreendedora ""esta guardado em algum lugar"""
Bain Marie -METRÔ,Bain Marie,53,Tem controle e ações para redução de perdas e desperdícios?,2,"Hoje não tem controle formal, percebi prestando atenção em pequenos detalhes como por exemplo refeições dos funcionários.  "
Bain Marie -METRÔ,Bain Marie,54,"O layout da cozinha/produção permite fluxo adequado (""marcha avante""), evita contaminação cruzada e otimiza processos?",3,"Principalmente a cozinha da João Walling que é grande mexeram no layout recentemente para melhorar a produtiviodade,  propria equipe quem realizou as melhorias. "
Bain Marie -METRÔ,Bain Marie,55,"Utiliza sistema para gestão de pedidos, produção (KDS), atendimento e estoque?",3,
Bain Marie -METRÔ,Bain Marie,56,"Ocorrem compras emergenciais? Se sim, com qual frequência?",4,"São poucas compras emergencias que acontecem, geralmente o pai da empreendedora é quem faz essas compras, mas não são necessárias é mais para controle delee porque gosta de fazer compras nos atacados "
Bain Marie -METRÔ,Bain Marie,57,Possui rotinas definidas e registradas (planilhas) de limpeza e segurança alimentar?,2,"Existe uma rotina definida, mas entendi que precisa melhorar.  "
Bain Marie -METRÔ,Bain Marie,58,Possui plano e registros de manutenção preventiva e corretiva dos equipamentos?,3,organização de papeis 
Bellona,Bellona,1,A empresa possui controle de entrada e saída de caixa?,1,"Não realiza nenhum registro, ficamos de fazer uma planilha de excel principalmnete para controle de fonecedores. "
Bellona,Bellona,2,Qual o nível de utilização de sistema (ERP/planilhas) para gestão?,1,"Utiliza o sistema para atendimento, não utiliza na gestão do restaurante. "
Bellona,Bellona,3,Tem DRE (Demonstrativo de Resultado do Exercício) mensal atualizado e utilizado?,3,"Elabora o DRE com o consultor com estimativas de valores, sem informções precisas. "
Bellona,Bellona,4,Possui CMV (Custo de Mercadoria Vendida) apurado mensalmente com precisão?,2,"Tem as fichas técnicas dos produtos, mas entendi que preci ser atualizado "
Bellona,Bellona,5,Tem fichas técnicas completas e atualizadas dos produtos/pratos?,3,ingrediente custos e etc 
Bellona,Bellona,6,Tem controle de estoque com inventário periódico?,1,"Realiza suas estimativas com base na sua vivencia na operação, nã há controle formal  "
Bellona,Bellona,7,"Possui e acompanha indicadores financeiros definidos (lucro, margem de contribuição, ticket médio, ponto de equilíbrio)?",3,"Acompanha alguns indicadores principalmente de vendas que consegui ver no sistema, como faturamento ticket medio. O resultado da operação é uma estimativa. "
Bellona,Bellona,8,"Trabalha com precificação estruturada (considerando custos, concorrência, valor)?",3,Utiliza planilhas para realizar formação do preço. 
Bellona,Bellona,9,Tem dívidas/empréstimos ativos? Estão controlados e planejados?,3,"Divida baixa, apenas um emprestimos com parcela de aproximadamente 1600,00"
Bellona,Bellona,10,Qual sistema (ERP/planilhas) utiliza? (Nome específico),0,glow
Bellona,Bellona,11,A empresa conhece com clareza seu público-alvo/persona?,4,"não tem a persona descrita mas acertou através da analise da consultoria e todos os seus produtos foram voltados para essa ""persona cliente cidade baixa"""
Bellona,Bellona,12,Possui um posicionamento definido (proposta de valor) e diferenciais competitivos claros e comunicados?,3,ainda precisamos descrever 
Bellona,Bellona,13,Conhece e analisa periodicamente seus principais concorrentes?,2,"3 concorrentes direto, inclusive propos um alinhamento de preços entre todos através de uma reuniao e esse combinado foi formalizado entre todos "
Bellona,Bellona,14,Participa de eventos ou ações de visibilidade local/setorial relevantes?,1,
Bellona,Bellona,15,"Trabalha o storytelling da marca (história, propósito, origem) na comunicação?",1,"não tem, mas é legal de conta "
Bellona,Bellona,16,"Possui material institucional (cardápio, embalagens) bem apresentado e alinhado à marca?",4,"o cardápio é bem elaborado, intuitivo e atendi ao publico no momento. As embalagens atendi ao seu posicionamento de baixo preço. "
Bellona,Bellona,17,"Avalia o retorno das ações de marketing (comentários, avaliações online/offline)?",1,
Bellona,Bellona,18,A empresa mantém perfis ativos e estratégicos nas redes sociais relevantes?,2,frequencia muito baixa de postagens e sem estratégia 
Bellona,Bellona,19,"Há produção frequente e diversificada de conteúdo de qualidade (stories, reels, fotos, vídeos)?",2,"Realiza ""quando da"""
Bellona,Bellona,20,Há um responsável (interno/externo) com expertise gerenciando as redes sociais?,1,"a esposa do empreendedor faz os conteudos quando ""da tempo"". "
Bellona,Bellona,21,Tem um calendário editorial ou planejamento de conteúdo?,1,
Bellona,Bellona,22,Está atento e adapta conteúdos virais/tendências relevantes para a marca?,1,
Bellona,Bellona,23,"Interage com o público (comentários, directs) de forma rápida e personalizada?",1,
Bellona,Bellona,24,Utiliza ferramentas e tem habilidade para edição de imagem e vídeo de qualidade?,1,Utiliza ferramentas de IA para gerar imagens 
Bellona,Bellona,25,Tem estratégia e investimento em impulsionamento/tráfego pago?,1,
Bellona,Bellona,26,Trabalha com influenciadores ou parceiros digitais de forma estratégica?,1,
Bellona,Bellona,27,"Oferece links de fácil acesso (bio) para cardápio, contato e pedidos?",1,
Bellona,Bellona,28,"Possui canais de vendas digitais ativos e bem gerenciados (iFood, site, WhatsApp)?",3,ifood
Bellona,Bellona,29,"Acompanha e utiliza métricas das redes sociais (alcance, engajamento, conversões) para otimizar?",1,
Bellona,Bellona,30,Quais perfis ativos a empresa possui? (Listar plataformas),0,"só instagram, facebook e google"
Bellona,Bellona,31,Quais ferramentas de edição de imagem/vídeo utiliza? (Nomes),0,não utiliza
Bellona,Bellona,32,A empresa já utiliza alguma ferramenta de Inteligência Artificial de forma integrada no dia a dia?,1,
Bellona,Bellona,33,"Usa ferramentas como ChatGPT/Gemini para criar ideias, conteúdos ou resolver problemas?",1,chatgpt a esposa utiliza
Bellona,Bellona,34,"Usa IA para gerar textos (descrições, posts, cardápios) com revisão humana?",1,
Bellona,Bellona,35,Utiliza IA para criação ou inspiração de imagens/elementos visuais?,3,Utiliza para gerar imagens para as redes sociais 
Bellona,Bellona,36,Utiliza assistentes virtuais ou chatbots para atendimento ao cliente?,1,
Bellona,Bellona,37,Quais ferramentas de IA utiliza no dia a dia? (Nomes),0,
Bellona,Bellona,38,Utiliza estratégias ativas e contínuas de prospecção ou vendas?,1,
Bellona,Bellona,39,Tem base de clientes organizada (preferencialmente CRM) e utilizada para relacionamento/vendas?,1,
Bellona,Bellona,40,Realiza ações estruturadas de fidelização ou recompra?,1,
Bellona,Bellona,41,"Tem processos de atendimento e vendas padronizados, conhecidos e seguidos pela equipe?",1,autoatendimento
Bellona,Bellona,42,Trabalha com ações promocionais ou sazonalidades de venda de forma planejada e estratégica?,1,
Bellona,Bellona,43,"Faz parcerias estratégicas com canais locais, marketplaces ou distribuidores?",1,
Bellona,Bellona,44,Há definição clara e formalizada de funções e responsabilidades para todos os cargos?,2,"já fez definição de cargos mas nem sabe onde esta, na pratica a pessoa tendo disponibilidade para trabalhar a noite ele contrata. "
Bellona,Bellona,45,Possui treinamentos recorrentes para desenvolver a equipe (técnico/comportamental)?,2,"Treinamentos mais voltados para o operacional, principalmente em novas contratações "
Bellona,Bellona,46,Os colaboradores possuem remuneração variável atrelada a metas/desempenho?,3,"tem remuneração variável implantado por meta atingida e atrelou o pagamento a comportamento exemplo: não atrasar, faltas e etc "
Bellona,Bellona,47,Realiza reuniões periódicas eficazes com a equipe para alinhamento e comunicação?,1,não realiza reuniões inclusive sugeri principalmente para o acompanhamento da meta
Bellona,Bellona,48,Realiza pesquisa de clima organizacional e implementa planos de ação?,1,
Bellona,Bellona,49,Possui plano de carreira estruturado e transparente para os colaboradores?,1,
Bellona,Bellona,50,"Existe uma cultura organizacional clara (Missão, Visão, Valores), disseminada e vivenciada?",1,"não faz mais sentido nesse momento, pois mudou tudo,  esta descrito em algum lugar, mas era ao modelo de negocio anterior que ficava em frente a redenção a sorveteria  "
Bellona,Bellona,51,Qual o número total de colaboradores?,0,9 pessoas no time e  esta com a rotatividade muito alta 
Bellona,Bellona,52,"Possui Manual de Boas Práticas (MBP), POPs exigidos pela VS, atualizados e em uso (com registros)?",2,Empreendedor relata que existe mas que precisa atualizar.  
Bellona,Bellona,53,Tem controle e ações para redução de perdas e desperdícios?,1,Empreendedor entendi que tem pouca perda que não é necessario o controle rigoroso. 
Bellona,Bellona,54,"O layout da cozinha/produção permite fluxo adequado (""marcha avante""), evita contaminação cruzada e otimiza processos?",3,Estruturou o novo layout recentemente. 
Bellona,Bellona,55,"Utiliza sistema para gestão de pedidos, produção (KDS), atendimento e estoque?",3,
Bellona,Bellona,56,"Ocorrem compras emergenciais? Se sim, com qual frequência?",4,"Pouquissimas vezes acontece compras emergencias, empreendedor tem uma rotina pre estabelecida de compras e tem muito experiencia como comprador em seus trabalhos anteriores. "
Bellona,Bellona,57,Possui rotinas definidas e registradas (planilhas) de limpeza e segurança alimentar?,3,Existe uma rotina pré estabelecida para dar agilidade no fechamento do restaurante. 
Bellona,Bellona,58,Possui plano e registros de manutenção preventiva e corretiva dos equipamentos?,3,"Realiza manutenções preventivas, mas os registros estão na ""sua cabeça"" "
Con Amor,Con Amor,1,A empresa possui controle de entrada e saída de caixa?,3,"Depois do workshop esta fazendo contoles mais simplificados, antes fazia planilhas muito elaboradas e acabou não lançando mais as informações.  "
Con Amor,Con Amor,2,Qual o nível de utilização de sistema (ERP/planilhas) para gestão?,2,"Utiliza algumas planilhas para controles, não tem sistema operacional. "
Con Amor,Con Amor,3,Tem DRE (Demonstrativo de Resultado do Exercício) mensal atualizado e utilizado?,2,Não analisa os resultados já faz bastante tempo. 
Con Amor,Con Amor,4,Possui CMV (Custo de Mercadoria Vendida) apurado mensalmente com precisão?,1,"Não apura o CMV, perdeu o controle faz algum tempo, hoje faz através do feeling mesmo. "
Con Amor,Con Amor,5,Tem fichas técnicas completas e atualizadas dos produtos/pratos?,1,"Não usa ficha técnica, hoje faz de cabeça os custos, pensando quanto vai gastar no mercado. "
Con Amor,Con Amor,6,Tem controle de estoque com inventário periódico?,3,"faz um controle visual, e anota no bloco de notas listas de compras. "
Con Amor,Con Amor,7,"Possui e acompanha indicadores financeiros definidos (lucro, margem de contribuição, ticket médio, ponto de equilíbrio)?",1,
Con Amor,Con Amor,8,"Trabalha com precificação estruturada (considerando custos, concorrência, valor)?",1,"tem noção de quanto vai gastar nos itens, e faz tudo de cabeça "
Con Amor,Con Amor,9,Tem dívidas/empréstimos ativos? Estão controlados e planejados?,0,Sem dívidas. 
Con Amor,Con Amor,10,Qual sistema (ERP/planilhas) utiliza? (Nome específico),0,Só utiliza excel para alguns controles financeiros. 
Con Amor,Con Amor,11,A empresa conhece com clareza seu público-alvo/persona?,3,"Juliana defini publico alvo por tipo de serviço, para coffee break corporativo, para eventos pessoa física, para marmitas pessoa física que requer cuidados com alimentação. (acima de 40 anos) "
Con Amor,Con Amor,12,Possui um posicionamento definido (proposta de valor) e diferenciais competitivos claros e comunicados?,2,Não esta definido é justamente o que precisa ser trabalhado considerando os serviços diferentes que ela entrega. 
Con Amor,Con Amor,13,Conhece e analisa periodicamente seus principais concorrentes?,4,"Monitora através dos clientes, que emviam os orçamentos pela relação de confiança estabelecida. Mostrou as propostas de coffee de vários concorrentes.  "
